"CD4"	"CD3"	"CD8"	"CD16"	"CD123"	"HLA-DR"	"CD45RA"	"CD38"	"CD69"	"CD45"	"CD56"	"CD15"	"CD117"	"CD10"	"CD34"	"CD25"	"CD20"	"IgM"	"CD19"	"CD44"	"CD11c"	"CD11b"	"CD33"	"CD14"	"CD61"
"8"	9.2268737044962	3.09927794402269	1.45507967617548	-0.279314747342365	0.00852309343148132	0.618290032814966	1.56091869417112	-0.841894214255468	-0.569209468889898	1.06260058656573	0.0252974309912198	0.00600171570240871	0.00227657922574459	-0.00550442867365676	0.0110448712862558	0.790178982511774	0.192937049700816	0.00399676089464991	0.0055354391114094	2.39516160839291	0.019833330612807	-0.627766077480067	0.0114043950436869	0.0111931411004862	0.0125190518316936
"6"	9.10535157107638	4.63499545287611	-1.95431304224544	-0.568203423724215	0.00570495846423674	1.12086902557113	2.80006737733749	0.281798382090742	-0.802389709542488	0.978993828256236	0.0217753801002105	0.00699923085302679	0.00511203510773825	-0.00279934194387302	0.015916310239906	0.0136146684792468	0.358083734561064	-0.000960856156244138	0.00797947441149839	1.61469417712237	0.327596821251652	-0.770998350180982	0.0140139639232064	0.0134751534667591	0.0140536456172834
"5"	9.05095575064438	3.43866883682838	-2.54571919673131	-0.64928106311726	0.0125806836503921	1.16827322827637	-2.46928294774366	-0.788274779780969	-0.835582943749696	0.55282604242431	0.0171565257882831	0.00443536259528854	0.00402432657125785	-0.00409809261237115	0.0143279339011955	0.226403510449628	0.412687691720188	0.00356802622151232	0.00803876707237803	2.05804224256582	0.449741622205192	-0.880634071612961	0.0136053145780586	0.0141503495775987	0.0140458341356132
"4"	7.83753931142446	3.21879051490455	-2.62493492912631	-0.432376570146375	0.0082220713189215	0.734153056171864	-0.816802810749072	-1.18500101122602	-0.655897268526022	-0.569243156658529	0.0222167999778372	0.00663989010181666	0.00512184749775445	0.0094300732336505	0.0150283029481339	0.0874697930547758	0.282042590357898	0.00427966461249123	0.00756698918074917	-1.29701549444763	0.143155170263107	-0.693029108202493	0.0109345868814094	0.012620364529081	0.00655765271674629
"7"	4.48298627186572	-7.60453509054478	-1.87824010368592	-0.107562482384508	5.55717703457027	4.7918428786245	1.52201307752616	0.833646851100595	0.348977005076369	-1.69326960363871	0.021160701214257	-0.00599636512340905	0.0012486353260262	0.00817614037362402	-0.0100561035326743	0.0100557758836868	0.0314642053426257	-0.00893503251554885	0.0111858601822841	1.43920567787771	0.00492005504029299	-0.472047752837335	0.180519945148003	-0.00113684252203077	1.6051572147294
"2"	-4.93040877109463	-7.17905350016662	-3.43152992696215	0.24835845627458	0.49021659430719	2.83091655426322	-0.477175723705188	1.09656453745801	0.303652464549381	-0.164183018768207	0.111088602942059	-0.01314052450819	-0.00320790286032603	0.0784384575312972	-0.0155435343071533	0.0280717878368431	0.250816450134094	0.00251173287576642	-0.000894069916807617	2.57703008629489	4.77840118429869	3.46924908610465	4.69049260016048	3.81539219745913	3.85627076750731
"3"	-4.51423905713989	-7.6360990103201	-3.24749402125785	4.61341120365094	2.31193909747788	3.4120032916376	1.0487287837984	-0.198544387575114	-0.394933090552461	0.118168381655832	-0.00527455967899497	-0.00695502387361043	0.00704290540090974	0.00455199828614929	0.00515569263994403	0.0260675767147643	0.0663060863454629	-0.00333687326802219	0.00947557799662034	1.71766176691247	5.02246044014215	-0.507128479723763	2.0670941525308	0.401215338720347	1.02933193490422
"9"	-9.57152489894743	-5.54596753196439	-0.0126959674471781	5.74101039788515	0.00807198956866026	1.20970347548529	0.974747551878708	0.733522093474498	0.488126128717688	-0.585068625111577	1.08483376054202	-0.0173966312756582	0.00794731165689026	0.00950351153479069	0.0144797520000503	0.0303728057155099	0.303976714841265	0.0164261501250209	0.0133965418173842	-2.28700189307952	1.0004750760256	0.650546843965997	0.0125298985134083	-0.012633384640877	0.00777194563347634
"1"	-9.68246442999845	-7.44471171144825	-3.77099846021556	-0.329587080194751	-0.00765124963670288	4.72544232110298	0.422802739555597	0.302970077789736	-0.610339792835243	0.322387204421391	0.031182211961038	0.00405859079864727	0.00682021774280304	-0.00144932379903799	0.188643310769389	0.00529635407918233	2.86718123622347	3.28306107133424	3.27458523703569	-0.831090070853761	0.00895498876413866	-0.669803895928644	0.131935868517505	0.00832309807305734	0.00699038353045396
"10"	-10	3.48509870334888	7.33944600576711	0.286932324541086	0.00713221661355	1.02649978862247	0.869469314817344	-1.67122883695252	2.21129264238945	-0.246157257169746	-0.00184345704930344	-0.000751656911892481	-0.00935771499615289	0.0106998821011684	0.0956875886084748	0.024159445818162	1.00955961294345	0.00603336098541213	-0.00282291062062739	-1.33151610117174	0.477416253418872	0.286041892631094	0.0150522293839677	0.00856986743344956	0.00136982135659768
