"CD3"	"CD8"	"CD4"	"CD16"	"CD11c"	"HLA-DR"	"CD11b"	"CD14"	"CD38"	"CD45"	"CD34"	"CD15"	"CD117"	"CD10"	"CD25"	"CD56"	"CD69"	"CD45RA"	"CD19"	"IgM"	"CD20"	"CD123"	"CD61"	"CD44"	"CD33"
"6"	0.010408311651307	0.22489368770094	2.17239345246731	0.0119985857745207	0.0125164692636092	3.60187115958245	0.0207270244221716	0.0147475619986842	1.19544759417685	3.20850394877368	0.00618991947142001	0.0177842054872509	0.0255786328732902	0.00998536890658897	0.0131705951238118	0.0193039586598329	0.0574027920937406	3.17409399461445	0.0293278438801577	0.0112578890731449	0.0253470842603669	4.21201784803875	1.20459201509602	3.55340232492332	0.140558789266435
"8"	0.00556902788345482	0.164986453396229	1.11347516006983	0.0588521159184489	3.61396622335821	2.1502960710247	2.65897522475697	2.87767879402544	1.30212104343312	4.06104768468973	0.00403348256217665	0.012273744534444	0.0226159862818639	0.0662013220507422	0.0240563971415288	0.0896648632416428	0.233485259470002	2.35121287698615	0.019964145622276	0.019192266404561	0.0214573348421945	0.400355134229392	2.9137637928827	4.15735131989176	3.53606152382423
"7"	0.00394265635120511	0.0785947950939276	1.00684465988897	0.00290803867165704	3.57649316857452	4.2023392624791	0.0180561628161241	0.429471583979686	1.55955287907125	3.25510059382981	0.00158917054673469	0.0164270648297999	0.0297013696989968	0.00545774441235585	0.0222676948117723	0.166044633307187	0.000496123262865553	1.40587232585631	0.0316125605864045	0.0147739176748995	0.0292391607699644	0.551531592572216	1.00706146129383	3.71376836060495	3.08125264375543
"9"	0.00254908706981356	0.0572759061644305	0.771239875608125	3.91139546633777	3.80996058073015	2.08107182557091	0.0256755273914414	0.261852712688573	0.33474889796212	4.46893703616861	0.0225512472883487	0.0141958493967552	0.0302302776011301	0.00711158121003043	0.0259826779266666	0.0121514454142399	0.0214394098815206	3.60865915338641	0.0270760462475454	0.0165884003471202	0.0266366571654434	2.11285416084261	0.381862366997847	3.49214759446076	1.21418509754392
"1"	0.0136650913789065	0.536930447195596	0.0210740027210038	4.32222121533513	0.768640748325793	0.0221458581575153	0.550541445380538	0.00727724094402371	1.1104809888321	3.77188909534266	0.0236869456709287	0.0097210257054628	0.0296000984363426	0.0103883752327382	0.0235859777798385	0.825636035661903	0.0690184750492954	2.56105923172216	0.0288387476314256	0.0276559383025859	0.0188211683623827	0.0229024067879187	0.0160120812441557	1.55124114435596	0.0195984055961343
"10"	0.0853110172978495	0.143313104377178	0.0267384277528727	0.160425974959253	0.5641303226924	4.03279938699772	0.434871465974457	0.565827103618836	0.718529975314183	4.29700029275258	0.00231194538548091	0.00714336618315524	0.0052786383264749	0.0244979493489924	0.0132377443774694	0.101800178906524	0.637256665279475	2.61998382325342	2.32330739982888	1.22474796389682	1.81340393259319	0.679751871810764	3.72070027524009	3.20344285945416	0.600972299854973
"4"	0.0418842227950191	0.0167067752724577	0.0246662686972128	0.014363275319942	0.0155807941247385	3.56954584022782	0.0166757603426133	0.0212875222448547	0.832234987562267	4.32811161469186	0.160521630784621	0.0240842165038853	0.0318503035734553	0.0038461853597882	0.00930003379427411	0.0286180502165755	0.023167874052349	2.7294919347098	2.48604959363558	2.50086640711019	2.16659282868503	0.0128723617914491	0.0164219414017079	2.72629339858425	0.114005670926375
"5"	0.0311929005052287	0.00895357189245584	0.0151554246524896	0.0734926635456279	0.0230495606237279	2.1132067977951	0.0152741364104067	0.025984577716725	4.36259333251059	3.82840252457302	0.00966379104706498	0.0229123988733897	0.0139173067991038	0.0177145375365298	0.077391094122193	0.0212355627129433	0.0189544255446768	3.96855232389647	1.86136259208506	0.0169416449296527	0.0181971699288871	0.00451154817515919	0.00890066991115581	3.28519629501647	0.0448093292701317
"3"	2.19814144365957	5.09907592658013	0.0961354215786863	0.0261097725506498	0.0219152074019518	0.0105114709779116	0.1883742518119	0.0207199906871159	0.246015955934941	4.05590500915005	0.0906968945297439	0.0207748092009739	0.0187832893525209	0.0110512262181226	0.0198247877397057	0.00306460626040412	1.66746469658558	2.66926745488439	0.0188437058489299	0.0213589183379574	0.772191945713424	0.0221902497302952	0.0121466113439218	2.64949619416815	0.0206811189061599
"2"	2.41419057686297	0.492214830114979	3.08013490838618	0.0130264045306752	0.0225697667291701	0.0196462966562523	0.00604550434188613	0.0239313329281429	0.537187790971379	4.27034731098637	0.0238735686874309	0.0251656810546002	0.0274594626223322	0.00416273986098552	0.125488576787593	0.0202607458945411	0.0142698213398906	2.26173489979015	0.0254407558461068	0.019172084011426	0.018212477838598	0.0235874376875294	0.0191747081202666	3.23442627880458	0.0198794523081621
