"CD4"	"CD3"	"CD8"	"CD123"	"CD45RA"	"CD16"	"CD69"	"CD38"	"CD11b"	"CD45"	"CD15"	"CD117"	"CD10"	"CD34"	"CD25"	"CD56"	"CD20"	"IgM"	"CD19"	"HLA-DR"	"CD44"	"CD14"	"CD61"	"CD33"	"CD11c"
"9"	3.1321925730871	3.05862716016235	0.455183827918618	0.021354545345308	3.21420957924455	0.0140884432677013	0.0183474260351753	0.972823100927793	0.00879993455613822	4.44293836251435	0.0269063382043107	0.0279983834018671	0.00171898487737577	0.024334824292175	0.0491092908236869	0.0219014668619256	0.0163360556753454	0.0153241547464634	0.0259459480544478	0.0234510532926707	3.12009679562097	0.0245086620509159	0.0205503383452189	0.0207881239886341	0.0239887018221749
"6"	3.0969265660015	2.10357268383404	0.591710322623449	0.023135853086858	2.63973607633816	0.0125003777814703	0.0131233759788627	0.447287333736297	0.00196060708713478	4.3626951130492	0.0253389253155586	0.0267591121044651	0.0024665592677564	0.0233133038861742	0.194737248119436	0.0162837158511481	0.0188493702630237	0.0202765319220424	0.0249268555852367	0.0163051175345885	3.42080786336824	0.0234456536028945	0.0183137620207132	0.0197594817869076	0.0225338233409486
"2"	3.14371117182891	2.28446409078998	0.508210837991779	0.0257351451532921	0.923057073381489	0.0119455844299747	0.0121441091267763	0.46002461574946	0.00746577027996811	4.25818263215545	0.0243049016839659	0.0273209099571503	0.00383175965273268	0.0238556089457147	0.183485720900446	0.022457986680165	0.0176455966642249	0.0199804204044754	0.0254036847960078	0.0190675267741239	3.43205266517787	0.0242243051624844	0.020397750648067	0.0197236306198026	0.0222834682146254
"7"	2.80298072959211	2.4476060312404	0.363181207113423	0.0216943789947041	2.57418808256223	0.0157515975900552	0.0157864972364552	0.523751959702198	0.00950739415434582	3.81031977477457	0.0245097624196618	0.0280649743684834	0.00913555480923027	0.0240865354410547	0.0487240682512915	0.0194089167496218	0.0205287292654166	0.0198508814921972	0.0252909887485659	0.0206264115243354	2.48386937441902	0.0234164126375432	0.0159845464258658	0.0193061189910134	0.0224329034106463
"3"	2.15657418610243	0.014988752162815	0.219804845980813	4.19343123878104	3.18597912827543	0.0132467232549037	0.0574027920937406	1.24490994089753	0.0223816719991715	3.14506278911661	0.0168119916761367	0.0255786328732902	0.0106477785007528	0.00720919896249635	0.0131705951238118	0.0202670218965202	0.0238726402177139	0.0108487374341539	0.0289615200779075	3.60692102052688	3.55741145492064	0.0147475619986842	1.21751869866874	0.147365688530124	0.0129547916449451
"5"	1.094059105178	0.0064889844847953	0.161326266460554	0.359252164211595	2.21956679400463	0.0439000013946668	0.249034176377185	1.36547151464117	2.7005256238191	3.98547592191754	0.0118606578013367	0.022475390817515	0.0660107454631986	0.00417186748801756	0.0237797001367987	0.0869759434358334	0.0216926071671796	0.0199548372309682	0.020023509916644	1.95025376071857	4.16165394841622	2.95342843943168	2.96728323330795	3.56908144361606	3.52124874585846
"4"	1.04786925459249	0.000523054513823723	0.122400567975764	1.15314239386683	3.04695794784262	1.05167631407446	0.0199439853846298	0.745569129299301	0.152947508144905	4.39229853717465	0.0154563471613077	0.0268764543006137	0.0376959369516598	0.0123280849580666	0.0249593588139436	0.0596769899061733	0.0240678140861888	0.014232247407141	0.0239411231665212	3.57365661414538	3.82444560111279	0.979520783879227	1.88431765249702	2.76936839971121	4.00959619318199
"1"	0.0209639432207552	0.013630126080722	0.536801672268977	0.0228738606620849	2.55959044011762	4.3209178578649	0.0691371191069983	1.11074412726517	0.550027606286846	3.77184951416638	0.00972656072861361	0.029591364222008	0.0104258466437915	0.0236875753166954	0.0235850581372971	0.825448358279882	0.0188141352661518	0.0276664346383726	0.0289121638763913	0.0220846939152125	1.55173936705474	0.00727453372307262	0.016012952850349	0.0195884952470394	0.767224459774467
"10"	0.0245661364115807	0.0420139993871399	0.0166863128703912	0.0125361129335098	2.73169527727744	0.0142606213056623	0.0228962701136982	0.833867584243669	0.0166495627712698	4.32524632368867	0.0240791337016756	0.0312617798222319	0.00386651809219581	0.158712765324321	0.00920738780726846	0.028617747350329	2.1617790823228	2.48547037371475	2.48458062755398	3.55728212596459	2.72676092486429	0.021264968978518	0.0161406164547317	0.112667430246788	0.0154172303134682
"8"	0.0946655179801747	2.20175941633059	5.10019412908235	0.0221993451455756	2.67173979856655	0.0262311158537508	1.66879692512579	0.246068972730779	0.188605404842993	4.05804492250604	0.0208438859617041	0.0187188859354816	0.011042541357896	0.0911672082796271	0.0197793719444918	0.00329107420599436	0.772894691721466	0.021251231225285	0.0188345859698894	0.0107037020298928	2.65084006030295	0.0207387303346587	0.0121466113439218	0.0207091092136432	0.0219508503533088
