"1 (Manual)"	"9 (UMAP/fSOM)"	"2 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"2 (t-SNE/fSOM)"	"6 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"2 (Manual)"	"3 (OG/fSOM)"	"4 (UMAP/fSOM)"	"3 (t-SNE/fSOM)"	"6 (OG/fSOM)"	"10 (t-SNE/fSOM)"	"7 (UMAP/fSOM)"	"3 (Manual)"	"9 (OG/fSOM)"	"2 (UMAP/fSOM)"	"9 (t-SNE/fSOM)"	"7 (OG/fSOM)"	"8 (OG/fSOM)"	"6 (Manual)"	"1 (UMAP/fSOM)"	"5 (t-SNE/fSOM)"	"7 (Manual)"	"3 (UMAP/fSOM)"	"1 (OG/fSOM)"	"7 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"6 (UMAP/fSOM)"	"5 (OG/fSOM)"	"4 (Manual)"	"5 (Manual)"	"4 (OG/fSOM)"	"1 (t-SNE/fSOM)"	"5 (UMAP/fSOM)"
"7 (UMAP/fSOM)"	79.346530200797	79.3140304234224	79.3198584622903	86.2961041240582	84.8687634554558	85.3460992406919	85.5051731600121	77.92512343657	77.9374165377929	77.9282822951363	77.9284644507647	99.7702686947746	99.9099408841468	100	89.6367819740268	87.2461868575341	87.6837402888292	87.6832418778791	87.7374244766132	85.6316415748657	85.5954782088708	85.6254934034232	85.6264203345281	82.5395893981921	82.5412608999846	82.540805021824	82.541365081934	86.9988031042998	84.0214322416522	84.040226799595	84.077410187043	83.1646511757979	83.2918600474363	83.2951167177127	83.2955190894503
"10 (t-SNE/fSOM)"	79.3344625199507	79.3019291157634	79.3077647165655	86.2968313745928	84.8551087154788	85.3290906445575	85.4929206220301	77.9250822813604	77.9373770045298	77.9282356768343	77.9284207635007	99.7267181028005	100	99.9099408841468	89.6291581169102	87.2296101092916	87.6702633692315	87.66978913784	87.7358423893987	85.6184214341581	85.5824782451814	85.6123721085551	85.6132912295795	82.544897020454	82.5466226765975	82.546165707471	82.5467250545844	86.9853581833881	84.0294898039962	84.0471921000179	84.0712411306288	83.1616599442671	83.288532314842	83.2918577807398	83.2922601423508
"6 (OG/fSOM)"	79.3082657410208	79.2757512580214	79.2814857895221	86.2637421375092	84.8503062912007	85.3322028995958	85.4800146322684	78.0604702372868	78.0728272626131	78.0636683473932	78.0638439921561	100	99.7267181028005	99.7702686947746	89.6885220660878	87.3050807037993	87.7379002284251	87.7373923557853	87.772805873513	85.6658768194499	85.6294487418355	85.6598373607487	85.6607410026256	82.6296998068632	82.6313389513155	82.6308871214867	82.6314500938102	87.0492226014763	84.0785856357132	84.098767924754	84.1470349126025	83.2277904445432	83.3542481085246	83.3573799523004	83.3577793825894
"3 (t-SNE/fSOM)"	75.1583654681641	75.1319609217696	75.1325720424883	79.3321405553424	77.9085273773026	77.8717671061676	78.0133486393866	99.970423610262	99.9838140082803	99.9963605418682	100	78.0638439921561	77.9284207635007	77.9284644507647	82.0597180062145	81.4898697451617	81.5158338702183	81.5181169112658	80.8400769398151	80.8330492882457	80.8181190042556	80.8248682164764	80.823856623555	86.6693994238102	86.6848852886221	86.6787594770758	86.6794946936446	82.4745953674178	82.5484152921721	82.5602544227789	83.3819314087195	82.6569755361757	82.7970489777969	82.8035718632331	82.8041865964354
"4 (UMAP/fSOM)"	75.1589940297123	75.132594818899	75.1332048697959	79.3321607520112	77.9087207522108	77.8719857787233	78.0135283137122	99.9725894576201	99.9828979616776	100	99.9963605418682	78.0636683473932	77.9282356768343	77.9282822951363	82.0589191684876	81.4887411753285	81.5148441813882	81.5171272300137	80.839476093518	80.8320602642958	80.817130039042	80.8238805905743	80.8228690452656	86.66856554317	86.6840541771319	86.677927983849	86.6786636842952	82.4744518771318	82.5483721689205	82.5602238486408	83.3818320766509	82.6569837101357	82.7970547419591	82.8035759266975	82.8041903508877
"3 (OG/fSOM)"	75.1610471179908	75.1346398558967	75.1352535029967	79.3344890174964	77.9093906254744	77.8736013701049	78.0154048455493	99.9593653380903	100	99.9828979616776	99.9838140082803	78.0728272626131	77.9373770045298	77.9374165377929	82.071236178778	81.500664450426	81.5268499780771	81.52913442781	80.8509968417803	80.8432543711196	80.8283306495152	80.8350786852387	80.834066452652	86.6819232199055	86.6974081416521	86.6912828368405	86.6920187856216	82.4854738518005	82.5607642438667	82.5726036310045	83.3940327114094	82.6687533105613	82.8088742525479	82.8154014093159	82.8160173700597
"2 (Manual)"	75.1577284864122	75.1313389034907	75.1319503870572	79.3323344998046	77.9098706635152	77.8718250654015	78.0137257712765	100	99.9593653380903	99.9725894576201	99.970423610262	78.0604702372868	77.9250822813604	77.92512343657	82.0514056492194	81.4797055359602	81.5065002873831	81.5087837897825	80.8342460017372	80.8229994217903	80.8080397437061	80.8147963439346	80.8137851566697	86.6579606413004	86.6734367114497	86.6673127883994	86.66805004902	82.4705855765027	82.5420736858207	82.5540421705821	83.376655885654	82.653126348723	82.7930893554811	82.7995968692837	82.800207664099
"8 (t-SNE/fSOM)"	86.0023921220272	85.9586557134359	85.9639139004017	94.8578069571828	94.1180507512497	98.1261444624955	100	78.0137257712765	78.0154048455493	78.0135283137122	78.0133486393866	85.4800146322684	85.4929206220301	85.5051731600121	82.352987549553	80.2326261600926	80.6175233383068	80.6163350531738	81.2143379023316	79.9272778524853	79.9046903085556	79.9264893020091	79.9278446103806	77.6228867557052	77.637102972743	77.6327672359431	77.6334276953935	79.956020114289	77.2290024909841	77.2588889527493	77.7538052535211	77.1155590373751	77.2890469415087	77.2937949881296	77.2940892225956
"6 (t-SNE/fSOM)"	85.7216100471998	85.6804096515618	85.684166291454	94.6036818559419	95.1685695222224	100	98.1261444624955	77.8718250654015	77.8736013701049	77.8719857787233	77.8717671061676	85.3322028995958	85.3290906445575	85.3460992406919	81.8790807385753	79.9486605068584	80.2520249781867	80.2505884103018	80.5679323329451	79.5193185825966	79.4951148975178	79.5196438524927	79.5210563007582	77.2808300145758	77.2954762849724	77.2911486528908	77.2917590981096	79.4649701517008	76.8908195717433	76.9166159794756	77.2762276173242	76.5388150827867	76.7044578005461	76.7087216757537	76.7090589808843
"2 (t-SNE/fSOM)"	85.2545972512618	85.2129938115596	85.2168304977194	95.0850272982193	100	95.1685695222224	94.1180507512497	77.9098706635152	77.9093906254744	77.9087207522108	77.9085273773026	84.8503062912007	84.8551087154788	84.8687634554558	81.2568477376905	79.6173949213995	79.7061807670683	79.7044160485436	79.4557563919553	78.7493403791367	78.7184646889984	78.7435926731436	78.7451434257168	76.976686005895	76.9920325469809	76.9877863768195	76.9880481775893	78.8656798063306	76.9611771401368	76.949988190367	76.9082779991217	76.0591792703255	76.2083161293222	76.2127072762949	76.2131474868459
"4 (t-SNE/fSOM)"	85.8720345286492	85.8289628900619	85.8339642869216	100	95.0850272982193	94.6036818559419	94.8578069571828	79.3323344998046	79.3344890174964	79.3321607520112	79.3321405553424	86.2637421375092	86.2968313745928	86.2961041240582	83.2141096703663	81.2106477898714	81.3616200819797	81.3602442407453	81.2632147294409	80.2720190040832	80.2437731405023	80.2638126220689	80.2651652127887	79.2426641075806	79.2581308081736	79.2543511116774	79.254498270865	80.7754012382311	78.5782926144316	78.5689175605017	78.8122893615672	78.2031076574141	78.3527000577054	78.3582673258495	78.358856246506
"2 (OG/fSOM)"	99.9158423762734	99.9779821307398	100	85.8339642869216	85.2168304977194	85.684166291454	85.9639139004017	75.1319503870572	75.1352535029967	75.1332048697959	75.1325720424883	79.2814857895221	79.3077647165655	79.3198584622903	77.679648969658	75.194479599915	75.4530212115876	75.4538385860403	76.7179243477336	76.4205183656027	76.4113455850604	76.414029217782	76.4156021922731	74.0353240753715	74.056042004407	74.0493940219076	74.0509150041291	76.6835109861653	76.2053783448121	76.1860274951932	76.0792654228895	75.3967877403317	75.6460935823065	75.6574764629547	75.6590112852919
"9 (UMAP/fSOM)"	99.9067136120858	100	99.9779821307398	85.8289628900619	85.2129938115596	85.6804096515618	85.9586557134359	75.1313389034907	75.1346398558967	75.132594818899	75.1319609217696	79.2757512580214	79.3019291157634	79.3140304234224	77.6712143702717	75.1870771148481	75.4449948732815	75.4458134655102	76.708406199424	76.4125347295009	76.4033681328746	76.4060638358434	76.4076363240022	74.0315812377622	74.0523096903537	74.0456611296589	74.047182639535	76.6766740739106	76.1995073796922	76.1801680367805	76.0740512062782	75.3911686793606	75.6404214054209	75.651801695154	75.6533367912715
"1 (Manual)"	100	99.9067136120858	99.9158423762734	85.8720345286492	85.2545972512618	85.7216100471998	86.0023921220272	75.1577284864122	75.1610471179908	75.1589940297123	75.1583654681641	79.3082657410208	79.3344625199507	79.346530200797	77.7127506235268	75.2255298559962	75.4828354709616	75.483645773688	76.7444812968641	76.4417027227003	76.4324673550156	76.4351699395088	76.436743312348	74.0624953119621	74.0831774668987	74.0765339580111	74.0780516844632	76.7027848639561	76.2309023468327	76.2116072649239	76.1048241197313	75.4218828088322	75.6712253919245	75.6826051285426	75.6841400238099
