"CD3"	"CD4"	"CD8"	"CD38"	"CD11b"	"CD14"	"CD61"	"CD45RA"	"CD123"	"CD44"	"CD45"	"CD69"	"CD117"	"CD34"	"CD10"	"CD56"	"CD15"	"CD25"	"CD19"	"CD20"	"IgM"	"CD16"	"HLA-DR"	"CD33"	"CD11c"
"10"	2.26509668965736	2.92300907274215	0.42371956615674	0.622376413079883	0.0115802590629116	0.0243150215490334	0.0142663258832795	1.17531102423054	0.0256453913034339	3.28019249277875	4.14979048896694	0.0122911328779525	0.0266168795197613	0.020485337268146	0.0103649250478905	0.0191340691814259	0.0274968583655093	2.38336365194026	0.0239797815757369	0.0231332351567458	0.0210144827870464	0.00779521368902911	0.0993104473182808	0.0167594514502494	0.0209589712988876
"2"	0.00504561359609045	2.13931587603755	0.292073706372666	1.22125026290754	0.0185092251712607	0.0122116183020498	1.19233680653772	3.11376203659729	4.21032339748522	3.5535262204659	3.27856936992992	0.0666923019231009	0.024948359221392	0.00584529736898366	0.00775498027979615	0.0189727188944021	0.0164996131154304	0.0130885380693707	0.0272105075644656	0.022198993564805	0.0123294746340848	0.00594134858600776	3.57160785372241	0.143307204600676	0.00916595141333525
"3"	0.00571009642314388	1.1130856967303	0.168235993166054	1.31690383391472	2.6640888569773	2.88441256779679	2.9094264726663	2.34045537952859	0.394180193084801	4.16818004699254	4.05512538556646	0.232201723450513	0.0227572258535971	0.00382611277473512	0.0649535101398327	0.0916255873282962	0.0125496058662253	0.0239240860843569	0.0200424484717602	0.021535774311067	0.0194493300099526	0.0516211714258237	2.15116033831768	3.54174195378284	3.61368527077775
"9"	0.0461718238300425	0.951409123378108	0.156513692083602	0.839173117177879	2.09405869849432	2.0489417062703	1.97501879926837	2.17086184159683	0.20147620971275	3.53601204392665	3.847022824664	0.225263640445893	0.0176345834308917	0.0171906823220516	0.352882659247527	0.0488528024362464	1.71379915518913	0.0144558051249924	0.0123043905118298	0.0116512760085421	0.323604184754515	0.894049571489853	1.53564910963432	2.93022168632137	2.83993118572587
"8"	0.00325697208796749	1.03463462844724	0.0595848262199102	1.55015351554687	0.018339086761793	0.435290932327149	0.995632301965958	1.40041668154742	0.40490117603697	3.62696870578783	3.1796727374117	0.00185668684658305	0.0288450075128681	0.00587710136443574	0.00987336687280339	0.122194661730306	0.0188424960894174	0.0239039504395467	0.0308871269826501	0.0291659488088724	0.0145783734137936	0.00508321718753647	4.14258642820423	3.07281761215059	3.47541027324817
"4"	8.48791250560739e-05	0.851610571757137	0.0592412874327044	0.340336636798516	0.0246077954131005	0.263325513339527	0.602980701701878	3.60310712694613	2.17664283537509	3.52146301292108	4.50995251577658	0.0163038262722542	0.0299619030798919	0.0218388363657001	0.0229789557659411	0.0103079490314661	0.0166120309432739	0.0262205893200985	0.0264617594192102	0.0264787626407958	0.015062151049458	3.86186658990415	2.17567354716777	1.27016825473716	3.91384533900686
"6"	0.0133869344972172	0.0208491985612874	0.503186226836047	1.10297359515316	0.529936129895342	0.00732299845887829	0.0160405080149433	2.5586401016719	0.0224383121679917	1.56346646952154	3.76936094398634	0.063664437117	0.0297438273932315	0.023730705035672	0.0105356184620632	0.814746656912498	0.0103194411889974	0.0235837988426941	0.0286438514322393	0.018574940909168	0.0275073269393988	4.30981994070025	0.0213891458890239	0.0192851956957383	0.763061524850654
"1"	0.0442238584468511	0.0245466029041196	0.0166697525306773	0.83831675375095	0.0163571807090595	0.0210150836672257	0.0159302187447935	2.74623353034313	0.0124684192683335	2.73746193682435	4.33674988356039	0.0225803319265327	0.0362829667891677	0.162916756542192	0.00449594656254245	0.0295674751311569	0.0240126708807189	0.00915220318392242	2.49188704470297	2.17141076386165	2.50846800878689	0.0142179506925051	3.57141003155798	0.115038902705223	0.0153799763594406
"5"	0.0464042251128857	0.0137057790609683	0.000659642228746438	4.4961782482877	0.0173625613833086	0.0273224094810816	0.0068778070428235	3.97992125438811	0.00601335509843293	3.28049206884904	3.79408235457275	0.0191601350694576	0.0140417530019346	0.00894305354063194	0.0228806794988575	0.0259373825370158	0.0218428734197055	0.0730009155593668	1.7422759760584	0.0209035169046409	0.0199753156049167	0.0745790585809765	2.05914161551745	0.0425879932717227	0.0257066162508289
"7"	2.34959576975017	2.88686893565272	0.781453229518387	0.452421858320915	0.0184490248247805	0.0230336861605528	0.0175143883750807	2.41031162917172	0.0232507796657591	3.08243190105809	4.21665680011588	0.04566927131805	0.0256000589713898	0.0166881981014965	0.00604132116562461	0.016722883164773	0.0240820773176208	0.0450145159282043	0.0237211193334923	0.00169075597237398	0.0197306586267898	0.00960069848382874	0.0179045667426752	0.0201682663286015	0.022424944225403
