"CD3"	"CD8"	"CD4"	"CD16"	"CD11c"	"HLA-DR"	"CD11b"	"CD14"	"CD38"	"CD45"	"CD34"	"CD15"	"CD117"	"CD10"	"CD25"	"CD56"	"CD69"	"CD45RA"	"CD19"	"IgM"	"CD20"	"CD123"	"CD61"	"CD44"	"CD33"
"6"	-7.61147848231782	-1.70351069171472	4.39315769443968	-0.109426675045186	0.00433683534191032	4.78565675883345	-0.474270712583167	-0.001136969582935	0.789338502063413	-1.52018634215329	-0.0114349532265372	-0.00469618542514003	0.0012487748816203	0.00729534473742698	0.0100568997825134	0.0198811676264914	0.34922027286817	1.50628861894531	0.0116795889827651	-0.00839142420312409	0.0332064291418291	5.58253727125855	1.58812162747691	1.48915476777661	0.171479703791173
"8"	-7.17006556386847	-3.45543617051185	-4.94517205722024	0.245808431368308	4.79052732515799	2.84596992136962	3.45732688762187	3.80315731084987	1.06689258064753	-0.149134844089637	-0.0155747299249585	-0.0130718177345162	-0.00302976629996081	0.0798757905834336	0.0280607315715087	0.111123529895275	0.302437671861784	-0.447662161505045	-0.000894169843868636	0.00241849794317607	0.253679973926162	0.504342110096654	3.85648133696973	2.55542047073192	4.68390742777829
"7"	-7.62329573761887	-3.14689202396085	-4.05888913152038	-0.122406047299402	4.7479453329094	5.58483977990127	-0.478360239930935	0.550698951118214	1.44368754668727	-1.53178265922213	-0.0175749157721507	-0.00651277917770892	0.00676047771421091	0.00122757602607026	0.022242622226113	0.21509014093072	-0.38195207569224	-1.93687873905719	0.0147316337514352	-0.00370261081313159	0.0403922872728982	0.710178896395261	1.32516382452996	2.23262227523088	4.08554837246817
"9"	-7.63738501169415	-3.21865181597305	-4.56568741011095	5.18523683911027	5.05816417656077	2.76077961939303	-0.487591766189235	0.327302192022876	-1.3535225724392	0.494750890889238	0.0105515916860995	-0.00952178445518525	0.00750710836606658	0.003360628763417	0.0274655806340429	0.0105461082933761	-0.372209986102687	2.27097517014958	0.00876530396253905	-0.00128818536073492	0.0521839952440368	2.78795593256268	0.492846534082058	1.60326692592544	1.59983521685703
"1"	-5.54555343018253	-0.0148112651924474	-9.57151965197201	5.7433160120179	1.00307548094812	1.21278465720307	0.654017343289977	-0.0126358463831216	0.729108156032525	-0.583134215576116	0.0144837806938771	-0.0175749095849959	0.00796683210599503	0.00929234783924206	0.0303580031756194	1.08266704510755	0.488739997934949	0.969787218088963	0.0132791442909465	0.0163267677891465	0.30517100056446	0.0081130644151311	0.00766913933642344	-2.28864295344684	0.0124707336596565
"10"	-7.15401284428718	-3.04373288270414	-5.89761302441779	0.184577285690742	0.738544049710924	5.35943401902339	0.439175730912279	0.732377583310543	0.516632434483982	0.204771418458071	-0.0165453711967636	-0.0188566080321221	-0.025791733294305	0.0265640164848017	0.010116315384963	0.12970557886235	0.794950345594881	0.212708750952231	3.06506097932095	1.60684283835562	2.40946142919589	0.881009217810635	4.93738603004784	0.358449940460151	0.78438629769354
"4"	-7.4497311052909	-3.76548011414969	-9.68031783496711	-0.328254875592823	0.0091598911717493	4.7362634572614	-0.668933518667063	0.00841965445203344	0.300419006948166	0.337423820441946	0.191111461241418	0.00406364327716158	0.00760942649889043	-0.00142060646415056	0.00525991635719106	0.0314450156076295	-0.610333850653874	0.423423764232409	3.27673599398508	3.30082934370333	2.87215755733588	-0.00717199196161048	0.00739278986652047	-0.83710826636778	0.133747946823215
"5"	-7.58176924198315	-3.22882655723906	-9.27789393176367	0.162406613836001	0.0183589001475989	2.8042544043449	-0.478523005769132	0.013851554158047	4.97857703476951	-0.745174308168364	-0.0067595953161057	0.00213965715953994	-0.0142934075676794	0.0175681887467606	0.0954540841632958	0.0225091705196547	-0.354121313127528	2.40802835775099	2.45012088481586	-0.00081448015835671	0.0199996882079871	-0.0177815438653172	-0.00322768718690982	0.941936697872661	0.044088106795474
"3"	3.46689935066784	7.33621215583965	-10	0.282855303881968	0.482578513090941	1.0213573693866	0.284340586918308	0.0085350820288334	-1.66570587025409	-0.245743010440123	0.0953903471913407	-0.000863230861323705	-0.00913881701753293	0.0107472354726383	0.0243361946790894	-0.00203838167102568	2.20918758456909	0.871423367473298	-0.00279052121499371	0.0062005665349373	1.00945497813835	0.00709781231650452	0.00133187597103285	-1.33132559071214	0.014938599737688
"2"	4.22249786473637	-7.40911150570293	4.05136196040255	-8.80457351265704	-4.7059630317842	-5.05905157525459	-2.48421238936903	0.0666518975622553	-1.0076957592605	0.547985272424671	0.0296580103186565	0.0109762859113938	0.00794475411074439	-0.000999888892248704	0.139736203234927	-0.763218635711139	-2.72969535287113	-0.442898191762185	0.0144507349559315	0.0043674745565069	-2.02342503397158	0.0172244945565816	0.769397729346889	1.92485982711511	0.725825713625364
