"CD4"	"CD3"	"CD8"	"CD16"	"CD123"	"HLA-DR"	"CD45RA"	"CD38"	"CD69"	"CD45"	"CD56"	"CD15"	"CD117"	"CD10"	"CD34"	"CD25"	"CD20"	"IgM"	"CD19"	"CD44"	"CD11c"	"CD11b"	"CD33"	"CD14"	"CD61"
"2"	0.5	0.748995152734239	0.796402251866346	0.5	0.5	0.5	0.564701481678605	0.944605183808626	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.595351199097058	0.5	0.5	0.5	0.5	0.5
"4"	0.584206381729116	0.921864264573958	0.697041188413962	0.5	0.5	0.5	0.806571185481149	0.728721860823657	0.5	0.638695908722908	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.758859299719737	0.5	0.5	0.5	0.5	0.5
"6"	0.5	0.798518250744809	0.737869979382777	0.5	0.5	0.5	0.707878579326913	0.679375015275831	0.5	0.503300380438093	0.5	0.5	0.5	0.5	0.5	1.00217421220546	0.5	0.5	0.5	0.593909602530572	0.5	0.5	0.5	0.5	0.5
"8"	0.552540699741897	0.858979754000861	0.78235133934604	0.5	0.5	0.5	1.07032625373764	0.663011789093626	0.5	0.702301226826943	0.5	0.5	0.5	0.5	0.5	0.600395773951807	0.5	0.5	0.5	0.778335592487566	0.5	0.5	0.5	0.5	0.5
"10"	0.743818664828379	0.5	0.693864091892275	0.5	0.5	0.741793400936173	0.944065890142836	0.951438729784086	0.5	0.575682496732147	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.826422128924987	0.5	0.5	0.547779081035513	0.5	1.31754742666501
"5"	0.915199954099023	0.5	0.537209473379107	0.5	0.76283201892649	1.46582372213653	1.13145735080604	0.830858131496348	0.623246619069471	0.717190325810906	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.71913983768698	0.82814336823432	0.702168038795658	0.589286739532029	0.66241277791137	1.15988167043328
"9"	0.947528145071387	0.5	0.5	2.95695991948462	1.47816474365761	1.80868568842883	1.52029176795215	0.898427896979857	0.5	1.13160299186304	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.721625065443239	0.858291037101858	0.5	1.45848367830019	0.641325433778127	1.7722191936838
"7"	0.5	0.5	2.40001500897283	0.805983509584604	0.5	0.5	0.902365640196075	1.26546790508999	0.5	0.694654756355957	0.998038214203146	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.940787080826502	1.60400768925203	0.881347270238815	0.5	0.5	0.5
"1"	0.5	0.5	0.5	0.5	0.5	1.37735757820268	1.32501341821605	1.04374727108805	0.5	0.703593436403803	0.5	0.5	0.5	0.5	0.534779071270769	0.5	1.02574136312926	3.21831130745818	0.694036763482905	0.964232341827983	0.5	0.5	0.500158205299788	0.5	0.5
"3"	0.5	0.813139967732508	0.5	0.5	0.5	0.5	1.00940398274007	0.553077934541278	0.837434378319775	0.685572514564968	0.5	0.5	0.5	0.5	0.5	0.5	0.816909576359053	0.5	0.5	0.843625706125579	0.5	0.581256395335397	0.5	0.5	0.5
