"7 (OG/fSOM)"	"3 (UMAP/fSOM)"	"1 (Manual)"	"2 (OG/fSOM)"	"3 (t-SNE/fSOM)"	"2 (UMAP/fSOM)"	"7 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"2 (t-SNE/fSOM)"	"9 (t-SNE/fSOM)"	"6 (t-SNE/fSOM)"	"2 (Manual)"	"8 (t-SNE/fSOM)"	"6 (UMAP/fSOM)"	"3 (OG/fSOM)"	"5 (t-SNE/fSOM)"	"6 (Manual)"	"4 (UMAP/fSOM)"	"9 (OG/fSOM)"	"8 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"3 (Manual)"	"4 (OG/fSOM)"	"7 (UMAP/fSOM)"	"6 (OG/fSOM)"	"7 (Manual)"	"1 (t-SNE/fSOM)"	"8 (UMAP/fSOM)"	"9 (UMAP/fSOM)"	"5 (UMAP/fSOM)"	"5 (OG/fSOM)"	"4 (Manual)"	"1 (OG/fSOM)"	"5 (Manual)"	"10 (t-SNE/fSOM)"	"1 (UMAP/fSOM)"
"8 (t-SNE/fSOM)"	75.5751649527881	75.1324168907322	75.1583654681641	79.4573316783092	77.9284207635007	77.9288350145997	79.6945669000974	80.4686407104048	77.7886681593752	77.7844555257551	79.7627221083082	99.970423610262	100	99.996035489673	81.4708845875414	80.6927867248879	80.8181190042556	80.8255197854535	82.5437994823658	81.4786833795395	81.2931896877356	82.0597180062145	81.9758279102783	81.5162433094108	87.0691048683284	86.6693994238102	86.6794946936446	86.6807744931456	85.6886924838709	82.5074209505032	83.1429327546661	83.3819314087195	83.4238710409928	82.6569755361757	82.8039823480163	82.8053715282926
"2 (Manual)"	75.573035884628	75.1317958090245	75.1577284864122	79.453710284123	77.9250822813604	77.9254939578089	79.6951094716003	80.467473967217	77.7893424849539	77.7865388496859	79.7629224610715	100	99.970423610262	99.9668249261563	81.460929723125	80.682394327568	80.8080397437061	80.8154483659884	82.5331070157958	81.4728211231692	81.2856988232864	82.0514056492194	81.9659103976593	81.5069116811049	87.0577171290979	86.6579606413004	86.66805004902	86.6693282515071	85.6777568931242	82.5010794536413	83.1366335953071	83.376655885654	83.4197732832644	82.653126348723	82.8000051261389	82.8013905777763
"6 (t-SNE/fSOM)"	81.2576724130718	83.9865941152003	84.0227824339588	85.8483492758638	85.4541741190467	85.4711461803711	94.2893280016063	94.1150789159772	93.700950594834	94.9840878887551	100	79.7629224610715	79.7627221083082	79.7627063736776	80.0737943206257	79.1886274192988	79.2142784975907	79.244874109382	82.4585836891179	81.0397213865849	80.2793542854811	81.8253818807765	80.9415923355948	80.2520567060747	78.7739165400515	77.9185620096275	77.9298560779057	77.9304841084716	78.3787084829989	77.1141770608341	78.018047939954	77.444677431364	77.6361083861143	76.570682670822	76.7093490676124	76.7101758891031
"9 (t-SNE/fSOM)"	80.517313729866	85.2824619002749	85.3218672293467	84.1438346339614	83.9135954592588	83.9258265242167	94.8642927069801	92.9616831574234	93.7250106874615	100	94.9840878887551	77.7865388496859	77.7844555257551	77.7840942216644	78.9287952326904	78.0428779865913	78.1017800347685	78.1255566351194	80.9367018538814	79.6777462808748	79.0591065016989	80.5266876582583	79.705515496546	79.032204134005	77.3993920893243	76.5450289149261	76.5570039366814	76.5571700823825	76.8076407035956	76.4558135442214	77.3180916979813	76.3467557176643	76.5891163126934	75.5285530581951	75.6844354281433	75.6852333735384
"2 (t-SNE/fSOM)"	80.6127536632074	86.0469897276481	86.0898378871688	85.6569272477355	85.3827386846666	85.3948694855459	94.6011299855855	95.4058677001535	100	93.7250106874615	93.700950594834	77.7893424849539	77.7886681593752	77.7885353734762	80.6384917678776	79.8079157943803	79.8266699047641	79.8479136820952	82.7347458635064	82.0521483695152	80.6616519867063	82.281832500821	80.9116991131804	80.5310369800784	78.3140969047959	77.4535077118477	77.4637841025049	77.4640848709774	77.93932436483	77.1017414056191	78.0202678074121	77.6825563113868	78.1281723526696	77.0595819207446	77.2401107485271	77.2409926189553
"10 (OG/fSOM)"	81.628035572427	85.850884353726	85.8907774122889	86.7820996985278	86.2282450796134	86.2366945545544	94.6962557298872	100	95.4058677001535	92.9616831574234	94.1150789159772	80.467473967217	80.4686407104048	80.4687206400444	82.1720408598277	81.3158546371579	81.3130457070822	81.3346887599368	84.4890094991586	83.2923684723578	82.0063643026509	83.7895668082629	82.5245651041136	82.0847284171442	80.8810165938436	80.0140399735898	80.0265470263231	80.0269064081077	80.2782982141629	79.241084035165	80.1742229961743	79.4722668278173	79.8582030401493	78.7602460084005	78.9377798684108	78.9389674316153
"7 (t-SNE/fSOM)"	81.0437844941334	85.7926044397936	85.8335879982752	86.3731506837886	86.0390770655081	86.0376641873975	100	94.6962557298872	94.6011299855855	94.8642927069801	94.2893280016063	79.6951094716003	79.6945669000974	79.6944290673251	81.001162526598	80.1148310317425	80.1461750213519	80.1659935792137	83.4889931887957	82.1226831635232	81.212429997432	83.0726056355202	81.8692405043818	81.2511433404562	80.2072174396411	79.3523443672962	79.3646740634338	79.3646798966805	79.4757508978591	78.5936042524422	79.501967131597	78.7857252091709	79.2376574708777	78.1727924498253	78.327837005296	78.3290149729238
"2 (UMAP/fSOM)"	75.7651759680751	79.3157938880499	79.3468218431462	98.3015275299974	99.9099197001735	100	86.0376641873975	86.2366945545544	85.3948694855459	83.9258265242167	85.4711461803711	77.9254939578089	77.9288350145997	77.9298670042308	86.1938661088619	85.6175301979648	85.5956812977055	85.6257684757045	88.1711344685902	88.3180185131227	87.8570731269056	89.6370148763588	87.788371851631	87.6805983755871	83.1520312427709	82.539881926145	82.5416579322755	82.5420178552291	84.2706931119139	84.0142952816914	84.6304473455559	84.0776399494878	83.964784093856	83.1648707568996	83.296153738134	83.2965510254935
"3 (t-SNE/fSOM)"	75.7603363973983	79.3033976939117	79.3344625199507	98.2810102765165	100	99.9099197001735	86.0390770655081	86.2282450796134	85.3827386846666	83.9135954592588	85.4541741190467	77.9250822813604	77.9284207635007	77.9294524663336	86.1805849324355	85.6051823857365	85.5824782451814	85.6124343830078	88.16233003609	88.3172229869305	87.83997864415	89.6291581169102	87.7704230395885	87.6669005036917	83.156634253912	82.544897020454	82.5467250545844	82.5470795469109	84.2729997168933	84.0224182137473	84.6376824460229	84.0712411306288	83.9609371984167	83.1616599442671	83.2926701609064	83.2930708921991
"2 (OG/fSOM)"	76.4187108830873	79.7802177289987	79.8119205207638	100	98.2810102765165	98.3015275299974	86.3731506837886	86.7820996985278	85.6569272477355	84.1438346339614	85.8483492758638	79.453710284123	79.4573316783092	79.4583905949359	87.2026787110142	86.5676913503912	86.5555167873691	86.5856233937629	89.2566700748732	89.3248539400983	88.8504554801567	90.7534890126586	88.8244920558508	88.7004763353106	84.5622366702691	83.931780023447	83.9338678459259	83.9343290454328	85.660459461813	85.1891285536053	85.8507778290498	85.3293379235408	85.2233013945327	84.3765063207203	84.5205349911067	84.521070074088
"1 (Manual)"	86.3599633495992	99.9089448824887	100	79.8119205207638	79.3344625199507	79.3468218431462	85.8335879982752	85.8907774122889	86.0898378871688	85.3218672293467	84.0227824339588	75.1577284864122	75.1583654681641	75.1580443728191	77.134635000274	76.445814512464	76.4324673550156	76.4354688285674	78.320160333602	77.5670827578436	76.2532551327099	77.7127506235268	75.9196752050033	75.4828401675098	74.8954143651798	74.0624953119621	74.0780516844632	74.07769941793	76.4902286717826	76.1950657808518	76.9261616576424	76.1048241197313	76.4317114059739	75.4218828088322	75.6837295634915	75.6855290372015
"3 (UMAP/fSOM)"	86.343842563932	100	99.9089448824887	79.7802177289987	79.3033976939117	79.3157938880499	85.7926044397936	85.850884353726	86.0469897276481	85.2824619002749	83.9865941152003	75.1317958090245	75.1324168907322	75.1320933712201	77.1064126384552	76.4190188416658	76.4049859101854	76.4079800410768	78.2901698733659	77.5324896797139	76.2197456247514	77.6728941959161	75.8827611208103	75.4466904468071	74.8651085407225	74.032550639038	74.048149486383	74.0477944099115	76.4601020848409	76.1648535442407	76.8952688706282	76.0753222334393	76.4015972009952	75.3924712098678	75.654233547426	75.6560331199044
"7 (OG/fSOM)"	100	86.343842563932	86.3599633495992	76.4187108830873	75.7603363973983	75.7651759680751	81.0437844941334	81.628035572427	80.6127536632074	80.517313729866	81.2576724130718	75.573035884628	75.5751649527881	75.5749464574268	71.1261015024135	70.3489049776476	70.3080718697691	70.319733668182	73.1059081965849	72.3953141845335	70.8777028584323	73.4539694081669	71.7454128874189	71.0389084558052	72.7915085350223	72.0152439092953	72.0343999030069	72.0344880815821	74.4408656615885	73.2814506594758	73.9763344453992	73.2369343857481	73.3385220127655	72.4007308821956	72.6071269814863	72.6090529346155
