"CD3"	"CD4"	"CD8"	"CD16"	"CD123"	"HLA-DR"	"CD45RA"	"CD69"	"CD38"	"CD15"	"CD117"	"CD10"	"CD34"	"CD25"	"CD56"	"CD45"	"CD20"	"IgM"	"CD19"	"CD44"	"CD11c"	"CD11b"	"CD33"	"CD14"	"CD61"
"7"	0.779701074254415	0.546178285464812	0.801251680428716	0.5	0.5	0.5	0.777162066339788	0.5	0.647871153407695	0.5	0.5	0.5	0.5	0.838111013198552	0.5	0.5	0.5	0.5	0.5	0.697441710283983	0.5	0.5	0.5	0.5	0.5
"6"	0.844714541333967	0.569814021826364	0.719863692752351	0.5	0.5	0.5	0.886365485598927	0.5	0.903818703656652	0.5	0.5	0.5	0.5	0.5	0.5	0.714030883856906	0.5	0.5	0.5	0.792145749276381	0.5	0.5	0.5	0.5	0.5
"5"	0.855292526988047	0.551945587737638	0.781233597066047	0.5	0.5	0.5	1.09078576806772	0.5	0.665353232189451	0.5	0.5	0.5	0.5	0.598936725947257	0.5	0.704887437160949	0.5	0.5	0.5	0.778723329737213	0.5	0.5	0.5	0.5	0.5
"4"	0.5	0.743818664828379	0.693864091892275	0.5	0.5	0.741793400936173	0.944065890142836	0.5	0.951438729784086	0.5	0.5	0.5	0.5	0.5	0.5	0.575682496732147	0.5	0.5	0.5	0.826422128924987	0.5	0.5	0.547779081035513	0.5	1.31754742666501
"9"	0.813139967732508	0.5	0.5	0.5	0.5	0.5	1.00940398274007	0.837434378319775	0.553077934541278	0.5	0.5	0.5	0.5	0.5	0.5	0.685572514564968	0.816909576359053	0.5	0.5	0.843625706125579	0.5	0.581256395335397	0.5	0.5	0.5
"2"	0.5	0.915199954099023	0.537209473379107	0.5	0.76283201892649	1.46582372213653	1.13145735080604	0.623246619069471	0.830858131496348	0.5	0.5	0.5	0.5	0.5	0.5	0.717190325810906	0.5	0.5	0.5	0.71913983768698	0.82814336823432	0.702168038795658	0.589286739532029	0.66241277791137	1.15988167043328
"1"	0.5	0.947528145071387	0.5	2.95695991948462	1.47816474365761	1.80868568842883	1.52029176795215	0.5	0.898427896979857	0.5	0.5	0.5	0.5	0.5	0.5	1.13160299186304	0.5	0.5	0.5	0.721625065443239	0.858291037101858	0.5	1.45848367830019	0.641325433778127	1.7722191936838
"3"	0.5	0.5	0.5	0.5	0.5	1.37735757820268	1.32501341821605	0.5	1.04374727108805	0.5	0.5	0.5	0.534779071270769	0.5	0.5	0.703593436403803	1.02574136312926	3.21831130745818	0.694036763482905	0.964232341827983	0.5	0.5	0.500158205299788	0.5	0.5
"10"	0.5	0.5	1.31394551025987	0.850304106177699	0.5	0.5	0.896532740557511	0.767765626939918	1.2025527899921	0.5	0.5	0.5	0.5	0.5	0.9839839294376	0.717354248674289	0.5	0.5	0.5	0.997077057451665	1.57057154605846	0.86999043841002	0.5	0.5	0.5
"8"	0.5	0.5	0.5	0.792577967961641	0.5	0.5	0.905475584918918	0.5	1.27446615811511	0.5	0.5	0.5	0.5	0.5	1.01649040276484	0.685864842267231	0.5	0.5	0.5	0.925103512573715	1.63952362842891	0.889934018065739	0.5	0.5	0.5
