"2 (OG/fSOM)"	"5 (UMAP/fSOM)"	"1 (Manual)"	"4 (OG/fSOM)"	"7 (t-SNE/fSOM)"	"10 (UMAP/fSOM)"	"3 (OG/fSOM)"	"6 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"5 (t-SNE/fSOM)"	"4 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"2 (Manual)"	"10 (t-SNE/fSOM)"	"3 (UMAP/fSOM)"	"1 (OG/fSOM)"	"6 (Manual)"	"7 (UMAP/fSOM)"	"2 (t-SNE/fSOM)"	"3 (Manual)"	"5 (OG/fSOM)"	"4 (UMAP/fSOM)"	"3 (t-SNE/fSOM)"	"8 (OG/fSOM)"	"7 (OG/fSOM)"	"7 (Manual)"	"9 (t-SNE/fSOM)"	"1 (UMAP/fSOM)"	"8 (UMAP/fSOM)"	"9 (OG/fSOM)"	"4 (Manual)"	"6 (OG/fSOM)"	"5 (Manual)"	"1 (t-SNE/fSOM)"	"9 (UMAP/fSOM)"
"3 (UMAP/fSOM)"	75.5995916392687	75.1329784016455	75.1589940297123	79.4881706980551	77.9299753500355	77.9282822951363	80.6847902556482	78.050404831132	79.2224500742515	77.7143493768875	79.235675858655	92.8657559303894	99.9725894576202	99.9914651537033	100	81.4837683145584	80.817130039042	80.824392909358	80.8245406023788	82.0589191684876	81.9726083632926	81.5149203510369	81.5186152242459	85.5612626760054	87.0461317132189	86.66856554317	86.6789183650987	86.6840593290854	82.5483721689205	83.1161709146516	83.3818320766509	83.3986550463563	82.6569837101357	82.8033392307962	82.8041288981002
"10 (t-SNE/fSOM)"	75.5974479618348	75.1312805659464	75.1572897008548	79.4867581553482	77.9286336087016	77.9269378190663	80.6843872568307	78.0494228905959	79.221663140819	77.7141575669292	79.2356580905773	92.8642169465859	99.9742156308366	100	99.9914651537033	81.4817864702091	80.8151285294967	80.8223894799006	80.822537093273	82.0571039199373	81.9713579529655	81.5136203336087	81.5173195015738	85.5606006760512	87.0456348733913	86.6681452182001	86.6784930424772	86.6836362614832	82.5451347773789	83.1129773457349	83.3797126858439	83.3968476261258	82.655214277627	82.8015499086408	82.8023385470054
"2 (Manual)"	75.5965067729862	75.1317245103129	75.1577284864122	79.4846749703316	77.9268217427296	77.92512343657	80.6833120970688	78.0518703466691	79.2222120718682	77.714536607537	79.2358068248715	92.8599502639883	100	99.9742156308366	99.9725894576202	81.4748470448512	80.8080397437061	80.8153084701067	80.8154568857303	82.0514056492194	81.963773140739	81.506578751353	81.5102719295175	85.5482954561111	87.035536861695	86.6579606413004	86.6683015166423	86.6734421747129	82.5420736858207	83.1098261454152	83.376655885654	83.394557715388	82.653126348723	82.799364714829	82.8001480201867
"10 (OG/fSOM)"	79.59457836706	79.9041361739791	79.9343312824021	84.8792258898621	83.3907363044801	83.390609760905	86.8559726923031	83.9745370714799	85.3753964438771	83.8135266390027	85.2893705195058	100	92.8599502639883	92.8642169465859	92.8657559303894	84.6788595817682	83.843338707114	83.8592249465382	83.8609482159226	85.8896148352517	85.2274947884317	84.7275427794566	84.7345000613966	87.394814688872	88.4290412662328	87.7349699913206	87.7498479781872	87.7544293519349	84.602662455875	85.3748864221137	85.1056527461446	85.1793407049009	84.1899450031006	84.3617781955422	84.3623263081667
"4 (t-SNE/fSOM)"	81.0822218573933	86.1484440420358	86.1912112480253	86.2250847432612	85.9165519492321	85.9162239051438	95.166897569528	94.4852830106987	93.5794631414508	95.8329636501015	100	85.2893705195058	79.2358068248715	79.2356580905773	79.235675858655	81.1327671411228	80.2725178089035	80.290279912246	80.2946544501315	83.0835493511333	81.6875269365301	81.2229207449044	81.2351043602346	79.5039350945612	79.8722194652551	79.0625268220091	79.0736734398728	79.0776699403397	78.2147008470155	79.0629057084487	78.6722033076292	79.1677989558221	78.133543567451	78.3007512523644	78.300189822585
"5 (t-SNE/fSOM)"	80.7717050353777	85.885428610163	85.9282233229317	85.5451297685312	85.3050902723937	85.3176143515929	95.4013380212597	94.4180265408152	94.1779062118699	100	95.8329636501015	83.8135266390027	77.714536607537	77.7141575669292	77.7143493768875	80.5144848169905	79.695531133243	79.7168941516909	79.7212764845068	82.0809653816776	80.7018610610753	80.3687709239019	80.3784403709771	77.9812997553442	78.1155165090441	77.3031016319252	77.3126134805152	77.3171590570074	76.9940507120751	77.817666498519	77.4685170070604	77.8469359677791	76.8115546405099	76.990555663474	76.9890635924157
"8 (t-SNE/fSOM)"	81.2846908103452	84.0751814089219	84.1115060486428	85.73675779976	85.44634844704	85.4621134252809	94.3704264942547	95.693315809491	100	94.1779062118699	93.5794631414508	85.3753964438771	79.2222120718682	79.221663140819	79.2224500742515	79.905614953703	79.0680963713176	79.0976715263931	79.1017050651189	81.6295102522838	80.7133723548262	80.0837871811839	80.0916715543501	78.0907050489619	78.4432036511288	77.632608183035	77.6447077999926	77.6477710229292	76.9719148359789	77.8049744314093	77.1842445140373	77.3126274576803	76.2845434241544	76.4258374785389	76.4246789739042
"6 (t-SNE/fSOM)"	80.63177267979	85.3904468076197	85.4326925610862	85.0348154605251	84.8678680835755	84.8787532271661	93.3948187925733	100	95.693315809491	94.4180265408152	94.4852830106987	83.9745370714799	78.0518703466691	78.0494228905959	78.050404831132	79.6745524886795	78.8453601583267	78.8687995503492	78.8730839851869	81.4093585870248	80.4199583251433	79.8187849101995	79.8264513086332	77.382185195974	77.9354142057253	77.1288587904747	77.1408411016881	77.1440205815492	77.1132089596141	77.924125693268	77.0904637442445	77.3020797014897	76.2793532185287	76.4360376525377	76.4350503707691
"3 (OG/fSOM)"	81.7519194174372	85.8540860247261	85.8949511901201	86.8717386733013	86.3183099753079	86.3265339921968	100	93.3948187925733	94.3704264942547	95.4013380212597	95.166897569528	86.8559726923031	80.6833120970688	80.6843872568307	80.6847902556482	82.3970283238283	81.5343741267904	81.555364104446	81.5595665497844	83.9790176775913	82.6800178461493	82.2901075459754	82.3000199298958	80.7942728010949	81.0121040000261	80.1929835743584	80.2048570877816	80.2092052106615	79.4880476758124	80.3296762598437	79.6906336397172	80.0114245869613	78.945797221545	79.1274139337067	79.1264630638431
"10 (UMAP/fSOM)"	75.7999374989088	79.3149798033739	79.346530200797	98.2529844747859	99.9100274803737	100	86.3265339921968	84.8787532271661	85.4621134252809	85.3176143515929	85.9162239051438	83.390609760905	77.92512343657	77.9269378190663	77.9282822951363	86.1850125523061	85.5954782088708	85.6246599783847	85.6278950038047	89.6367819740268	87.7407775068713	87.675999800386	87.6843959873627	83.4434952798987	83.1253916743952	82.5395893981921	82.5416683172121	82.5410657137018	84.0214322416522	84.5965435776226	84.077410187043	83.9383805454544	83.1646511757979	83.2965259359461	83.2954948079022
"7 (t-SNE/fSOM)"	75.7967655432366	79.304247544267	79.3358329986957	98.2351839368534	100	99.9100274803737	86.3183099753079	84.8678680835755	85.44634844704	85.3050902723937	85.9165519492321	83.3907363044801	77.9268217427296	77.9286336087016	77.9299753500355	86.1732608911388	85.5834333376722	85.612485397479	85.6157210768425	89.6302525140738	87.7240027139703	87.6634115282979	87.6718716523048	83.4455497939644	83.1317721722153	82.5462700124499	82.5484156322606	82.5478008458548	84.0305527890543	84.6053517387109	84.0723206602373	83.9359138060047	83.1626913556465	83.2943057817747	83.2932886687254
"4 (OG/fSOM)"	76.4374160191711	79.760939552212	79.7930921595529	100	98.2351839368534	98.2529844747859	86.8717386733013	85.0348154605251	85.73675779976	85.5451297685312	86.2250847432612	84.8792258898621	79.4846749703316	79.4867581553482	79.4881706980551	87.2356516169746	86.5959596124742	86.6250677952495	86.628233499037	90.7958191125154	88.811910247119	88.7370830966877	88.7457281617873	84.8806613866735	84.5809477599556	83.9790617532535	83.9813063991102	83.9810029450802	85.2522473460131	85.8603254822702	85.3800245725844	85.2464824068439	84.4278684980116	84.5728862290354	84.5719217062042
"1 (Manual)"	86.4048769469267	99.9072958442608	100	79.7930921595529	79.3358329986957	79.346530200797	85.8949511901201	85.4326925610862	84.1115060486428	85.9282233229317	86.1912112480253	79.9343312824021	75.1577284864122	75.1572897008548	75.1589940297123	77.1441015897389	76.4324673550156	76.4348114960213	76.4385633766469	77.7127506235268	75.8900023035208	75.4818462512394	75.4854572738367	75.0496032285051	74.8409817839707	74.0624953119621	74.0784424028823	74.08280510959	76.2309023468327	76.9064665305746	76.1048241197313	76.4019511883992	75.4218828088322	75.6822523108465	75.6832253492737
"5 (UMAP/fSOM)"	86.3893144298268	100	99.9072958442608	79.760939552212	79.304247544267	79.3149798033739	85.8540860247261	85.3904468076197	84.0751814089219	85.885428610163	86.1484440420358	79.9041361739791	75.1317245103129	75.1312805659464	75.1329784016455	77.1149979676905	76.4042423954075	76.4065802390314	76.4103286065122	77.6721323673642	75.8522836348207	75.4448643455145	75.4484363335126	75.0191716299388	74.8103185404241	74.0321724138647	74.0481685498982	74.0525265507038	76.2005237690916	76.8754982597399	76.0750991362456	76.371656761449	75.3922916368154	75.6525699904633	75.6535453043005
"2 (OG/fSOM)"	100	86.3893144298268	86.4048769469267	76.4374160191711	75.7967655432366	75.7999374989088	81.7519194174372	80.63177267979	81.2846908103452	80.7717050353777	81.0822218573933	79.59457836706	75.5965067729862	75.5974479618348	75.5995916392687	71.1517215023022	70.3412654348001	70.3522530157098	70.3554015405851	73.4828672433133	71.7360200512701	71.063091919598	71.0711839751209	72.9401793681268	72.768548883492	72.036142042695	72.0569456405127	72.0603741521871	73.3285549254242	73.9840336378795	73.2539218782957	73.3278363263887	72.4187498473256	72.6234745402193	72.6248819531216
