"CD3"	"CD4"	"CD16"	"CD33"	"CD11b"	"CD14"	"CD61"	"CD11c"	"HLA-DR"	"CD8"	"CD44"	"CD123"	"CD38"	"CD45RA"	"CD25"	"CD45"	"CD69"	"CD34"	"CD117"	"CD10"	"CD56"	"CD15"	"CD19"	"CD20"	"IgM"
"3"	0.924473610014263	0.604914940511388	0.5	0.5	0.5	0.5	0.5	0.5	0.842683516964282	0.862405387324507	0.701840953426224	0.5	0.810558997656216	1.51322485446458	0.615252722028059	0.634132723176001	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"4"	0.5	0.932080672029055	0.5	0.604275684643932	0.5	0.5	1.36390643148925	0.5	0.971228490586733	0.799888600379429	0.843855590518763	0.52681671921041	0.966172240825723	1.06227723249548	0.5	0.729643745904792	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"10"	1.32931472669609	1.13661481887788	0.5	0.5	0.657572728316081	0.5	0.5	0.5	0.5	3.7436986360298	0.987793827995139	0.5	0.752644787319621	1.17653603303464	0.5	0.830136340140732	1.50354479744595	0.615938706701932	0.5	0.5	0.5	0.5	0.5	0.970683437029561	0.5
"1"	0.5	0.914907551511131	0.5	0.598615336404122	0.746221569177492	0.703123821251975	1.19485261741655	0.836572665054487	1.57304884554854	0.537006164473245	0.729355503790892	0.765539325595032	0.832832683474243	1.15736204541739	0.5	0.751755374615107	0.617287406380478	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"5"	0.5	0.939153968646162	0.941431616646868	0.938455668478996	0.5	0.559416027414406	1.88739278925804	0.758780949761384	1.2641157766063	0.5	0.717348442238825	0.97078829431273	0.54945316587041	0.852520718818697	0.5	0.689865372856752	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"7"	0.5	0.5	0.815238004805218	0.5	0.887089728647991	0.5	0.5	1.60961351584372	0.5	2.38639489768564	0.94411516327321	0.5	1.26481607763908	0.902061500858653	0.5	0.696194885704152	0.5	0.5	0.5	0.5	1.00092147355613	0.5	0.5	0.5	0.5
"8"	0.5	0.5	2.42744790809224	0.5	1.41957363586493	0.5	0.581232573013429	1.92885315888954	0.5	1.48008640732329	1.36946769748048	0.5	1.5244986981579	1.78031552472796	0.5	0.95228844998269	0.508242461873499	0.5	0.5	0.669872518322697	0.940232482052997	1.69461740257059	0.5	0.525678655013699	1.41775623924148
"6"	0.5	0.5	0.5	0.501887309942985	0.5	0.5	0.5	0.5	1.37277837782075	0.5	0.954600806163879	0.5	1.04370314823048	1.32623725245854	0.5	0.686230596626089	0.5	0.534565243048241	0.5	0.5	0.5	0.5	0.683073471477017	1.01089659992198	3.18373525001044
"9"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.79564236576497	0.5	0.948608728227478	0.5	1.19665407225902	0.962813240031476	0.5	0.566092091887606	0.5	0.5	0.5	0.5	0.5	0.5	1.3890913652653	0.5	0.5
"2"	0.917856851433056	2.16163792017088	0.5	0.5	0.5	0.5	0.5	0.5	0.5	4.0754711394557	0.939940247338245	0.5	0.732122547683532	1.5333835670333	0.5	0.677157913198318	0.885207325843547	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
