"CD4"	"CD3"	"CD8"	"CD123"	"CD45RA"	"CD16"	"CD69"	"CD38"	"CD11b"	"CD45"	"CD15"	"CD117"	"CD10"	"CD34"	"CD25"	"CD56"	"CD20"	"IgM"	"CD19"	"HLA-DR"	"CD44"	"CD14"	"CD61"	"CD33"	"CD11c"
"9"	0.5	0.600272766789557	0.711015350638397	0.5	0.546108432183146	0.5	0.5	0.923433164377778	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.610280726586446	0.5	0.5	0.5	0.5
"6"	0.537689337720904	0.814355226777367	0.81363045653312	0.5	0.753232877860965	0.5	0.5	0.642023881779486	0.5	0.5	0.5	0.5	0.5	0.5	0.878956190389692	0.5	0.5	0.5	0.5	0.5	0.680942256156106	0.5	0.5	0.5	0.5
"2"	0.550225709925751	0.837477218603382	0.764393041217838	0.5	1.15193842236578	0.5	0.5	0.67025774649558	0.5	0.71883146187342	0.5	0.5	0.5	0.5	0.584074789145466	0.5	0.5	0.5	0.5	0.5	0.799927114690514	0.5	0.5	0.5	0.5
"7"	0.592010192485988	0.84344094355305	0.7048952707593	0.5	0.730657310131006	0.5	0.5	0.762446862062037	0.5	0.620929607277012	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.770345817622265	0.5	0.5	0.5	0.5
"3"	0.743818664828379	0.5	0.693864091892275	0.5	0.944065890142836	0.5	0.5	0.951438729784086	0.5	0.575682496732147	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.741793400936173	0.826422128924987	0.5	1.31754742666501	0.547779081035513	0.5
"5"	0.923863860415069	0.5	0.527401614048854	0.709789320111591	1.11797112038006	0.5	0.637756899230702	0.795474764431558	0.678381342609185	0.689463162675816	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.17471165846246	0.720826451301958	0.588167456491706	1.15164336430916	0.568532026379634	0.770436764353942
"4"	0.949289338718228	0.5	0.5	1.53132814816056	1.21564968460486	3.60012283002338	0.5	0.945317134544459	2.47155721158262	0.848268436675013	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.97509530562633	0.838681315243324	1.92055689167632	2.18602693614077	1.87922354255927	0.799501200551036
"1"	0.5	0.5	2.40001500897283	0.5	0.902365640196075	0.805983509584604	0.5	1.26546790508999	0.881347270238815	0.694654756355957	0.5	0.5	0.5	0.5	0.5	0.998038214203146	0.5	0.5	0.5	0.5	0.940787080826502	0.5	0.5	0.5	1.60400768925203
"10"	0.5	0.5	0.5	0.5	1.32418069139807	0.5	0.5	1.04391054171913	0.5	0.704154331181143	0.5	0.5	0.5	0.534512792923281	0.5	0.5	1.02552033349737	3.21466029190982	0.693877101491455	1.37751195111269	0.964409365568089	0.5	0.5	0.500169000405465	0.5
"8"	0.5	0.813139967732508	0.5	0.5	1.00940398274007	0.5	0.837434378319775	0.553077934541278	0.581256395335397	0.685572514564968	0.5	0.5	0.5	0.5	0.5	0.5	0.816909576359053	0.5	0.5	0.5	0.843625706125579	0.5	0.5	0.5	0.5
