"CD3"	"CD8"	"CD4"	"CD16"	"CD11c"	"HLA-DR"	"CD11b"	"CD14"	"CD38"	"CD45"	"CD34"	"CD15"	"CD117"	"CD10"	"CD25"	"CD56"	"CD69"	"CD45RA"	"CD19"	"IgM"	"CD20"	"CD123"	"CD61"	"CD44"	"CD33"
"6"	0.5	0.738974425285785	0.759576966532204	0.5	0.5	0.788907917980354	0.5	0.5	0.936472949491977	0.607555768244535	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.944096794477086	0.5	0.5	0.5	0.5	1.34157968019434	0.80460196417435	0.544967405975287
"8"	0.5	0.536414550157404	0.914438258930105	0.5	0.835908670893864	1.47394527521424	0.716939334434189	0.675762481036838	0.840108714104515	0.719733804624393	0.5	0.5	0.5	0.5	0.5	0.5	0.624182795079924	1.14147816749363	0.5	0.5	0.5	0.778231770486506	1.16053623155478	0.722005623728165	0.600303139167984
"7"	0.5	0.5	0.970382030214476	0.5	1.0714129831148	0.955513329797723	0.5	0.784013433239956	0.832250834898256	0.580698705428928	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.968213411582087	0.5	0.5	0.5	0.953954601397174	1.2355721580911	0.640868367986079	0.668225031886136
"9"	0.5	0.5	0.945684432156671	0.886750904406721	0.734684098199451	1.1734847765317	0.5	0.544013218357236	0.557325283810567	0.703877416301069	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.863115948183279	0.5	0.5	0.5	1.03172810573768	1.51226077581857	0.738545448953656	0.905266152587212
"1"	0.5	2.39622360671162	0.5	0.804129611962618	1.60546955496602	0.5	0.880731023506316	0.5	1.26551293517047	0.694844619812844	0.5	0.5	0.5	0.5	0.5	0.997433171977023	0.5	0.902386311266419	0.5	0.5	0.5	0.5	0.5	0.940030477302415	0.5
"10"	0.528877738286305	0.5	0.853977735070265	0.575560132967034	2.59237995998606	0.840481260819957	0.970259123026018	1.2331215077328	0.739537863131206	1.02177772623192	0.5	0.5	0.5	0.5	0.52830477018713	0.5	1.09537687825604	1.33098165217193	0.661326332103376	2.80690528617544	1.05080668862489	0.805800760306958	1.62465921726698	1.17998349612317	1.65857473919644
"4"	0.5	0.5	0.5	0.5	0.5	1.37267014633551	0.5	0.5	1.04126364154845	0.697840371053602	0.535787883060886	0.5	0.5	0.5	0.5	0.5	0.5	1.32274216063559	0.693913128195185	3.19154418449502	1.01987170930112	0.5	0.5	0.9620760056279	0.5
"5"	0.5	0.5	0.5	0.5	0.5	1.63936910102627	0.5	0.5	1.48327135519568	0.59016890474134	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.02706424791434	1.44337431713419	0.5	0.5	0.5	0.5	0.88474448901709	0.5
"3"	0.815025329781596	0.5	0.5	0.5	0.5	0.5	0.581604951737532	0.5	0.553669706863754	0.686826773383689	0.5	0.5	0.5	0.5	0.5	0.5	0.840785218926265	1.00876027389752	0.5	0.5	0.817705529746804	0.5	0.5	0.844313828394862	0.5
"2"	0.94323961004636	0.767614435639891	0.565005213333615	0.5	0.5	0.5	0.5	0.5	0.757348203040337	0.653489666485321	0.5	0.5	0.5	0.5	0.564667506863979	0.5	0.5	1.74856423159345	0.5	0.5	0.5	0.5	0.5	0.860985326968004	0.5
