"CD3"	"CD4"	"CD8"	"CD38"	"CD11b"	"CD14"	"CD61"	"CD45RA"	"CD123"	"CD44"	"CD45"	"CD69"	"CD117"	"CD34"	"CD10"	"CD56"	"CD15"	"CD25"	"CD19"	"CD20"	"IgM"	"CD16"	"HLA-DR"	"CD33"	"CD11c"
"10"	0.892013096446346	0.577908276650958	0.817370087590472	0.837092023280562	0.5	0.5	0.5	1.46154151534164	0.5	0.836085244259804	0.665842815526265	0.5	0.5	0.5	0.5	0.5	0.5	0.577500031379408	0.5	0.5	0.5	0.5	0.892527216155533	0.5	0.5
"2"	0.5	0.915218591496357	0.792743773877088	0.968322060012916	0.5	0.5	1.3710526961919	1.04231117259864	0.522802162255494	0.838505657284215	0.741949110954323	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.977898855502142	0.597630115123361	0.5
"3"	0.5	0.915278412214861	0.538555073247875	0.829992549626082	0.707255505979498	0.667208980771864	1.16264057634653	1.13247976099176	0.772318620898435	0.715118929061784	0.719055586413057	0.624284348554403	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.48605132897063	0.590152022312616	0.828025389129018
"9"	0.532035794529533	1.42328887001169	0.660213880559853	1.01061167662011	2.07906060116662	2.83174489057988	2.80178208650598	1.36205969767488	0.70826512411231	1.28091843787344	0.905731731301318	0.763659491378588	0.5	0.5	0.714016026389206	0.5	1.46527858931135	0.5	0.5	0.5	1.32624320006551	1.810613366542	2.18808723360093	3.37895233747259	3.03003659627923
"8"	0.5	1.0050358027131	0.5	0.837675073739949	0.5	0.81965365320296	1.32702585278834	1.01700621924156	0.643827479041192	0.669470839385697	0.57478539416637	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.925698943176651	0.688018369294092	1.02613067546034
"4"	0.5	0.943292543444307	0.5	0.557998877729567	0.5	0.560991275082199	1.87841261525924	0.862002930351967	0.949965095111208	0.723626413184859	0.683163202425333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.931880854584974	1.26104933087404	0.936812639563721	0.736418612277436
"6"	0.5	0.5	2.36574863679994	1.26177277052145	0.886935681755459	0.5	0.5	0.903380451507248	0.5	0.947802585970849	0.698137106799754	0.5	0.5	0.5	0.5	1.00346072410273	0.5	0.5	0.5	0.5	0.5	0.82230813466355	0.5	0.5	1.61820500158115
"1"	0.5	0.5	0.5	1.04416596354442	0.5	0.5	0.5	1.32622595439742	0.5	0.954644101189615	0.685608719182395	0.5	0.5	0.537659418282811	0.5	0.5	0.5	0.5	0.683073471477017	1.00771571978323	3.18476327750008	0.5	1.37421708607604	0.502156795214672	0.5
"5"	0.5	0.5	0.5	1.21505603079166	0.5	0.5	0.5	0.986688358538151	0.5	0.954272029898769	0.581088447426918	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.38085511546619	0.5	0.5	0.5	1.76307890150726	0.5	0.5
"7"	0.917472167435223	2.18777858297554	4.09069661471326	0.731837253941206	0.5	0.5	0.5	1.53576521072721	0.5	0.938738034652756	0.675467143503525	0.89044093609047	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
